numeroCamara,numeroSenado,tituloCorto,tipo,autores,estado,comision,origen,cuatrenio,legislatura,url,tituloLargo,objeto
398/2019C,133/2018S,"ENERGÍAS RENOVABLES","Ley Ordinaria","[""H.S.Álvaro Uribe Vélez"",""H.S.Paola Andrea Holguín Moreno"",""H.S.Nicolas Perez Vasquez"",""H.S.Alejandro Corrales Escobar"",""H.S.John Harold Suarez Vargas"",""H.S.Amanda Rocío González Rodríguez"",""H.S.Patricia Romero Soto""]","Trámite en Comisión","Comisión Tercera o de Hacienda y Crédito Público",Senado,2018-2022,2018-2019,https://www.camara.gov.co/energias-renovables-0,"POR MEDIO DE LA CUAL SE PROMUEVE LA PARTICIPACIÓN DE ENTIDADES TERRITORIALES EN LOS PROYECTOS DE GENERACIÓN DE ENERGÍA ALTERNATIVAS RENOVABLES",""
397/2019C,,"HONORES DE CADETES","Ley Orgánica","[""H.R.Franklin Del Cristo Lozano De La Ossa""]",Archivado,"Comisión Segunda o de Relaciones Internacionales","Cámara",2018-2022,2018-2019,https://www.camara.gov.co/honores-de-cadetes,"POR MEDIO DE LA CUAL SE RINDE HOMENAJE A LOS CADETES VÍCTIMAS DEL ATENTADO EN LA ESCUELA DE CADETES DE POLICÍA “GENERAL FRANCISCO DE PAULA SANTANDER” -ESCAN","El presente proyecto de ley pretende, hacer un oportuno reconocimiento y honrar la memoria de todos los cadetes que perdieron la vida el 17 de enero de 2019, por un ataque terrorista provocado por la explosión de un carro bomba que ingreso a las instalaciones de la Escuela de Cadetes de Policía “General Francisco de Paula Santander” - ECSAN. Como consecuencia de este acto fallecieron 22 jóvenes cadetes y cerca 100 cadetes más quedaron heridos."
396/2019C,135/2019S,"REGIMEN UTL","Ley Orgánica","[""H.S.Miguel Ángel Pinto Hernández"",""H.R.Harry Giovanny González García"",""H.R.Yenica Sugein Acosta Infante"",""H.R.Adriana Gómez Millán"",""H.R.César Augusto Ortiz Zorro"",""H.R.Juan Diego Echavarría Sánchez"",""H.R.Gabriel Jaime Vallejo Chujfi"",""H.R.Esteban Quintero Cardona"",""H.R.César Eugenio Martínez Restrepo"",""H.R.Jaime Felipe Lozada Polanco"",""H.R.Luis Alberto Albán Urbano"",""H.R.Neyla Ruiz Correa"",""H.R.John Jairo Roldan Avendaño"",""H.R.Henry Fernando Correal Herrera"",""H.R.Juan Fernando Espinal Ramírez"",""H.R.Rodrigo Arturo Rojas Lara"",""H.R.Milton Hugo Angulo Viveros"",""H.R.Juan Carlos Rivera Peña"",""H.R.Martha Patricia Villalba Hodwalker"",""H.R.José Luis Correa López"",""H.R.José Daniel López Jiménez"",""H.R.César Augusto Lorduy Maldonado"",""H.R.Armando Antonio Zabaraín de Arce"",""H.R.Hernando Guida Ponce"",""H.R.Crisanto Pisso Mazabuel"",""H.R.Jezmi Lizeth Barraza Arraut"",""H.R.José Elver Hernández Casas"",""H.R.Teresa De Jesús Enríquez Rosero"",""H.R.Anatolio Hernández Lozano"",""H.R.Diela Liliana Benavides Solarte"",""H.R.Faber Alberto Muñoz Cerón"",""H.R.José Gustavo Padilla Orozco"",""H.R.Buenaventura León León"",""H.R.Juan Carlos Reinales Agudelo"",""H.R.Carlos Alberto Carreño Marin"",""H.R.Óscar Darío Pérez Pineda"",""H.R.José Eliécer Salazar López"",""H.R.Edwin Gilberto Ballesteros Archila"",""H.R.José Luis Pinedo Campo"",""H.R.Abel David Jaramillo Largo"",""H.R.Eloy Chichí Quintero Romero"",""H.R.Emeterio José Montes De Castro"",""H.R.Jennifer Kristin Arias Falla"",""H.R.Gustavo Londoño García"",""H.R.Oscar Hernán Sánchez León"",""H.R.Flora Perdomo Andrade"",""H.R.Mauricio Parodi Díaz"",""H.R.Modesto Enrique Aguilera Vides"",""H.R.David Ernesto Pulido Novoa"",""H.R.Wadith Alberto Manzur Imbett"",""H.R.John Jairo Berrio López"",""H.R.Franklin Del Cristo Lozano De La Ossa"",""H.R.Julio César Triana Quintero"",""H.R.Edgar Alfonso Gómez Román"",""H.R.Carlos Germán Navas Talero"",""H.R.David Ricardo Racero Mayorca"",""H.R.Wilmer Leal Pérez"",""H.R.Luvi Katherine Miranda Peña"",""H.R.Nilton Córdoba Manyoma"",""H.R.Roosvelt Rodríguez Rengifo"",""H.R.Álvaro Henry Monedero Rivera"",""H.R.María José Pizarro Rodríguez"",""H.R.Hernán Banguero Andrade"",""H.R.Benedicto De Jesus Gonzalez Montenegro"",""H.R.Mauricio Andrés Toro Orjuela"",""H.R.Alonso José del Rio Cabarcas"",""H.R.Astrid Sánchez Montes De Oca"",""H.R.Andrés David Calle Aguas"",""y otras firmas.""]","Trámite a Senado","Comisión Primera Constitucional Permanente","Cámara",2018-2022,2018-2019,https://www.camara.gov.co/regimen-utl,"POR MEDIO DEL CUAL SE INTERPRETA CON AUTORIDAD Y SE ADICIONA UN PARÁGRAFO AL ARTÍCULO 388 DE LA LEY 5 DE 1992” (REGIMEN UTL)",""
395/2019C,,"450 AÑOS BUGA-VALLE","Ley Ordinaria","[""H.R.Norma Hurtado Sánchez""]","","Comisión Segunda o de Relaciones Internacionales","Cámara",2018-2022,2018-2019,https://www.camara.gov.co/450-anos-buga-valle,"POR MEDIO DE LA CUAL, LA NACIÓN SE ASOCIA A LA CELEBRACIÓN DE LOS CUATROCIENTOS CINCUENTA AÑOS DE FUNDACIÓN DEL MUNICIPIO DE GUADALAJARA DE BUGA, DEPARTAMENTO DEL VALE DEL CAUCA Y SE DICTAN OTRAS DISPOSICIONES","Que, de conformidad con el articulado y la exposición de motivos del Proyecto de Ley, éste tendrá como objeto, rendir homenaje al Municipio de Guadalajara de Buga, en el Departamento de Valle del Cauca, a causa de su pujanza, tradición histórica, aglomeración arquitectónica colonial auténtica, centro de peregrinación religiosa y punto de concentración de fe, a sus distinguidos pobladores y el logro de asocio con la Nación en la celebración de sus 450 años de fundación, de manera que se contribuya a patrocinar su continuo desarrollo a través de la consolidación de asistencia en sus necesidades sociales más inmediatas."
394/2019C,038/2019S,"NIÑOS NIÑAS Y ADOLESCENTES","Acto Legislativo","[""H.S.Álvaro Uribe Vélez"",""H.S.Maritza Martínez Aristizábal"",""H.S.Ruby Helena Chagui Spath"",""H.S.Paloma Susana Valencia Laserna"",""H.S.Miguel Ángel Pinto Hernández"",""H.S.Esperanza Andrade de Osso"",""H.S.Carlos Eduardo Guevara villabón"",""H.R.Adriana Magali Matiz Vargas"",""H.R.Juan Manuel Daza Iguarán"",""Ministra del Interior"",""doctora NANCY PATRICIA GUTIÉRREZ CASTAÑEDA""]",Otro,"Comisión Primera Constitucional Permanente",Senado,2018-2022,2018-2019,https://www.camara.gov.co/ninos-ninas-y-adolescentes,"POR MEDIO DEL CUAL SE MODIFICA EL ARTÍCULO 44 DE LA CONSTITUCIÓN POLÍTICA” (Niños, niñas y adolescentes)",""
393/2019C,055/2017S,"ASOCIACIONES CAMPESINAS","Ley Ordinaria","[""Ministra de Relaciones Exteriores doctora MARIA ANGELA HOLGUIN CUELLAR"",""Ministra de Comercio Industria y Turismo doctora MARÍA LORENA GUTIERREZ BOTERO""]",Archivado,"Comisión Segunda o de Relaciones Internacionales",Senado,2018-2022,2018-2019,https://www.camara.gov.co/asociaciones-campesinas,"POR MEDIO DE LA CUAL SE APRUEBA EL “PROTOCOLO ADICIONAL DEL ACUERDO COMERCIAL ENTRE LA UNIÓN EUROPEA Y SUS ESTADOS MIEMBROS POR UNA PARTE, Y COLOMBIA Y EL PERÚ, POR OTRA, PATA TENER EN CUENTA LA ADHESIÓN DE LA REPÚBLICA DE CROACIA A LA UNIÓN EUROPEA”, SUSCRITO EN BRUSELAS, BÉLGICA, EL 30 DE JUNIO DE 2015",""
392/2019C,229/2019S,"MODIFICACÓN ART 112 DEL CÓDIGO DE TRÁNSITO","Ley Ordinaria","[""H.R.Carlos Germán Navas Talero""]",Archivado,"Comisión Sexta o de Transportes y Comunicaciones","Cámara",2018-2022,2018-2019,https://www.camara.gov.co/modificacon-art-112-del-codigo-de-transito,"POR LA CUAL SE MODIFICA EL ARTÍCULO 112 DEL CÓDIGO DE TRÁNSITO",""
391/2019C,230/2019S,"PATRIMONIO CAMPERO JEEP","Ley Ordinaria","[""H.S.Aydee lizarazo cubillos"",""H.S.Juan Samy Merheg Marun"",""H.R.Diego Javier Osorio Jiménez"",""H.R.Luciano Grisales Londoño"",""H.R.Atilano Alonso Giraldo Arboleda"",""H.R.Juan Carlos Reinales Agudelo"",""H.R.Luis Fernando Gómez Betancourt"",""H.R.Milton Hugo Angulo Viveros""]","Trámite a Senado","Comisión Segunda o de Relaciones Internacionales","Cámara",2018-2022,2018-2019,https://www.camara.gov.co/patrimonio-campero-jeep,"POR LA CUAL SE DECLARA AL VEHÍCULO CAMPERO JEEP WILLYS COMO PATRIMONIO CULTURAL MATERIAL DE LA NACIÓN Y SE DICTAN OTRAS DISPOSICIONES",""
390/2019C,,MYPIMES,"Ley Ordinaria","[""H.S.Álvaro Uribe Vélez"",""H.S.Ernesto Macías Tovar"",""H.S.Honorio Miguel Henríquez Pinedo"",""H.S.Paola Andrea Holguín Moreno"",""H.S.Paloma Susana Valencia Laserna"",""H.S.Ruby Helena Chagui Spath"",""H.S.Alejandro Corrales Escobar"",""H.S.Ciro Alejandro Ramírez Cortes"",""H.S.Carlos Felipe Mejía Mejía"",""H.S.John Harold Suarez Vargas"",""H.S.Carlos Manuel Meisel Vergara"",""H.S.Maria del Rosario Guerra de la Espriella"",""H.S.Maria Fernanda Cabal Molina"",""H.R.Álvaro Hernán Prada Artunduaga"",""H.R.Jennifer Kristin Arias Falla"",""H.R.Juan Manuel Daza Iguarán"",""H.R.Juan David Velez Trujillo"",""H.R.Rubén Darío Molano Piñeros"",""H.R.Edwin Gilberto Ballesteros Archila"",""H.R.Edward David Rodríguez Rodríguez"",""H.R.Christian Munir Garcés Aljure"",""H.R.John Jairo Berrio López"",""H.R.Hernán Humberto Garzón Rodríguez"",""H.R.Jairo Giovany Cristancho Tarache"",""H.R.Oscar Leonardo Villamizar Meneses"",""H.R.Juan Fernando Espinal Ramírez"",""H.R.José Jaime Uscátegui Pastrana"",""H.R.José Vicente Carreño Castro"",""H.R.Juan Pablo Celis Vergel"",""H.R.Ricardo Alfonso Ferro Lozano"",""H.R.Yenica Sugein Acosta Infante"",""y otras firmas.""]",Retirado,"Comisión Tercera o de Hacienda y Crédito Público","Cámara",2018-2022,2018-2019,https://www.camara.gov.co/mypimes,"POR LA CUAL SE “IMPULSA EL EMPRENDIMIENTO, EL CRECIMIENTO Y LA CONSOLIDACIÓN DE LAS MIPYMES EN COLOMBIA","La presente Ley tiene por objeto establecer un marco
regulatorio que propicie el emprendimiento, el crecimiento y la consolidación de las
Micro, Pequeñas y Medianas empresas, con el fin de aumentar el bienestar social
y generar equidad."
389/2019C,082/2018S,"PLIEGOS TIPO","Ley Ordinaria","[""Ministra del Interior Doctora NANCY PATRICIA GUTIÉRREZ CASTAÑEDA.""]","Trámite conciliación","Comisión Primera Constitucional Permanente",Senado,2018-2022,2018-2019,https://www.camara.gov.co/pliegos-tipo,"POR LA CUAL MODIFICA EL ARTÍCULO 4 DE LA LEY 1882 DE 2018” (Pliegos tipo)",""
388/2019C,,CAPARRAPI,"Ley Ordinaria","[""H.R.Buenaventura León León""]","Trámite a Senado","Comisión Segunda o de Relaciones Internacionales","Cámara",2018-2022,2018-2019,https://www.camara.gov.co/caparrapi,"POR MEDIO DE LA CUAL LA NACIÓN Y EL CONGRESO DE LA REPÚBLICA SE ASOCIAN A LA CONMEMORACIÓN DEL BICENTENARIO DEL MUNICIPIO DE CAPARRAPI EN EL DEPARTAMENTO DE CUNDINAMARCA, SE LE RINDEN HONORES Y SE DICTAN OTRAS DISPOSICIONES","El presente proyecto de ley, pretende que la Nación y el Congreso de la Republica se vinculen a la conmemoración del bicentenario de fundación del municipio de Caparrapi en el departamento del Cundinamarca, cuya celebración será el 7 de agosto de 2019.  Adicionalmente se busca rendir homenaje público a sus habitantes. 
El proyecto de ley solicita al Gobierno Nacional la incorporación dentro del Presupuesto General de la Nación de las apropiaciones necesarias para realizar obras en beneficio de los habitantes de Caparrapi. De la misma forma, la realización de los movimientos presupuestales necesarios para hacer posible el cumplimiento de este propósito."
387/2019C,,"CANCER DE MAMA","Ley Ordinaria","[""H.R.Oscar Leonardo Villamizar Meneses""]",Retirado,"Comisión Séptima Constitucional Permanente","Cámara",2018-2022,2018-2019,https://www.camara.gov.co/cancer-de-mama-0,"POR MEDIO DE LA CUAL ESTABLECEN MEDIDAS PARA LA PREVENCIÓN, DIAGNÓSTICO Y TRATAMIENTO OPORTUNO DEL CÁNCER DE MAMA Y SE DICTAN OTRAS DISPOSICIONES","El objeto de la presente ley es establecer medidas eficaces, tempranas y oportunas en materia de prevención, detección temprana, tratamiento integral, rehabilitación y cuidado paliativo del cáncer de mama en Colombia. 

De igual modo garantiza el derecho de las mujeres y hombres a realizarse los respectivos exámenes y a recibir todos los servicios y tecnologías pertinentes dentro de los tiempos establecidos en el tratamiento de esta patología, en el sistema general de seguridad social en salud.  Dicta las obligaciones de los diferentes actores del sistema para mejorar la calidad de vida de los pacientes con enfermedad tumoral maligna de la mama."
386/2019C,,"ACCIÓN PREVENTIVA","Ley Ordinaria","[""H.S.Gabriel Velasco Ocampo""]",Retirado,"Comisión Primera Constitucional Permanente","Cámara",2018-2022,2018-2019,https://www.camara.gov.co/accion-preventiva,"POR MEDIO DEL CUAL SE REALIZAN CAMBIOS AL ARTÍCULO 81 DEL CÓDIGO NACIONAL DE POLICÍA Y CONVIVENCIA Y SE INTRODUCE UN TÉRMINO PRUDENCIAL PARA LA REALIZACIÓN DE ACCIONES PREVENTIVAS EN CASO DE VÍA DE HECHO QUE PRETENDAN PERTURBAR LA POSESIÓN","El presente proyecto de Ley tiene por objeto brindar una mayor ventana de tiempo a los Policías para que en virtud de la misma puedan proceder a ejecutar la acción que por cuenta del Artículo 81 se establece"
385/2019C,,"GAS LICUADO DE PETROLEO","Ley Ordinaria","[""H.R.Buenaventura León León""]",Archivado,"Comisión Quinta Constitucional Permanente","Cámara",2018-2022,2018-2019,https://www.camara.gov.co/gas-licuado-de-petroleo-2,"POR MEDIO DE LA CUAL SE AUTORIZA Y REGLAMENTA EL USO ALTERNATIVO DE GAS LICUADO DE PETRÓLEO","Autorizar el uso de gas licuado de petróleo (GLP) como carburante en motores de combustión interna, como carburante en transporte automotor (autogás) y demás usos alternativos del GLP en todo el territorio nacional."
384/2019C,,"BECA PEDRO PASCASIO","Ley Ordinaria","[""H.S.Miguel Ángel Pinto Hernández"",""H.S.John Milton Rodriguez Gonzalez"",""H.S.Laureano Augusto Acuña Díaz"",""H.S.Aida Yolanda Avella Esquivel"",""H.S.Juan Luis Castro Córdoba"",""H.S.Andrés Cristo Bustos"",""H.S.Luis Eduardo Diazgranados Torres"",""H.S.Carlos Abraham Jiménez"",""H.S.Carlos Felipe Mejía Mejía"",""H.S.Eduardo Enrique Pulgar Daza"",""H.S.Santiago Valencia Gonzalez"",""H.R.Jorge Méndez Hernández"",""H.R.Nicolás Albeiro Echeverry Alvarán"",""H.R.José Gabriel Amar Sepúlveda"",""H.R.Edwin Gilberto Ballesteros Archila"",""H.R.Jairo Giovany Cristancho Tarache"",""H.R.Alfredo Ape Cuello Baute"",""H.R.Juanita María Goebertus Estrada"",""H.R.Anatolio Hernández Lozano"",""H.R.Felipe Andrés Muñoz Delgado"",""H.R.Víctor Manuel Ortiz Joya"",""H.R.Julián Peinado Ramírez"",""H.R.Crisanto Pisso Mazabuel"",""H.R.Monica Maria Raigoza Morales"",""H.R.Nestor Leonardo Rico Rico"",""H.R.John Jairo Roldan Avendaño"",""H.R.Jorge Eliécer Tamayo Marulanda"",""H.R.Gabriel Jaime Vallejo Chujfi"",""H.R.César Augusto Pachón Achury""]",Archivado,"Comisión Segunda o de Relaciones Internacionales","Cámara",2018-2022,2018-2019,https://www.camara.gov.co/beca-pedro-pascasio,"POR MEDIO DE LA CUAL SE ADICIONA LA LEY 668 DE 2001, SE CREA LA BECA PEDRO PASCASIO MARTÍNEZ Y SE ESTABLECE EL PROCEDIMIENTO PARA EFECTUAR LA ELECCIÓN DE LOS GANADORES DE LAS MEDALLAS “LUIS CARLOS GALÁN DE LUCHA CONTRA LA CORRUPCIÓN” Y “PEDRO PASCASIO MARTÍNEZ DE ÉTICA REPUBLICANA",""
383/2019C,,"PENA PARA MILITARES","Ley Ordinaria","[""H.R.Álvaro Hernán Prada Artunduaga""]",Archivado,"Comisión Primera Constitucional Permanente","Cámara",2018-2022,2018-2019,https://www.camara.gov.co/pena-para-militares,"POR MEDIO DE LA CUAL SE ESTABLECE CONDICIONES ESPECIALES PARA ACCEDER AL BENEFICIO DE LA LIBERTAD CONDICIONAL PARA LOS MIEMBROS DE LAS FUERZAS PÚBLICAS","Objeto.  Otorgar un tratamiento exclusivo a los miembros de las Fuerzas Públicas, sustituyendo la pena privativa de la libertad, adoptando un tratamiento penal especial cuando se trate de delitos cometidos con anterioridad al 1 de diciembre de 2016, para quienes cometan crímenes en desarrollo de operaciones militares u operativos de policía reglado por el DIH"
382/2019C,,"ESTATUTO ORGÁNICO","Ley Ordinaria","[""H.S.Claudia Rodriguez De Castellanos"",""H.S.Carlos Eduardo Guevara villabón"",""H.S.Ciro Alejandro Ramírez Cortes"",""H.R.José Daniel López Jiménez"",""H.R.Ángela Patricia Sánchez Leal"",""H.R.Juan Carlos Wills Ospina"",""H.R.Juanita María Goebertus Estrada"",""H.R.Mauricio Andrés Toro Orjuela"",""H.R.Irma Luz Herrera Rodríguez"",""H.R.José Jaime Uscátegui Pastrana"",""H.R.Juan Manuel Daza Iguarán"",""H.R.Gabriel Santos García"",""H.R.Juan Carlos Lozada Vargas"",""H.R.Edward David Rodríguez Rodríguez"",""H.R.Enrique Cabrales Baquero"",""H.R.David Ricardo Racero Mayorca"",""H.R.Luvi Katherine Miranda Peña"",""H.R.María José Pizarro Rodríguez"",""H.R.Carlos Eduardo Acosta Lozano""]",Archivado,"Comisión Primera Constitucional Permanente","Cámara",2018-2022,2018-2019,https://www.camara.gov.co/estatuto-organico,"POR MEDIO DE LA CUAL SE MODIFICA EL DECRETO LEY 1421 DE 1993 “POR EL CUAL SE DICTA EL RÉGIMEN ESPECIAL PARA EL DISTRITO CAPITAL DE SANTAFÉ DE BOGOTÁ” Y SE DICTAN OTRAS DISPOSICIONES","La presente Ley tiene por objeto modificar algunos artículos del Decreto Ley 1421 de 1993, en aplicación de los principios de descentralización, desconcentración, delegación, pluralismo, transparencia y eficiencia."
381/2019C,246/2019S,"EDUCACIÓN EMOCIONAL","Ley Ordinaria","[""H.R.Martha Patricia Villalba Hodwalker""]",Archivado,"Comisión Sexta o de Transportes y Comunicaciones","Cámara",2018-2022,2018-2019,https://www.camara.gov.co/educacion-emocional,"POR MEDIO DE LA CUAL SE PROMUEVE LA EDUCACIÓN EMOCIONAL EN LAS INSTITUCIONES EDUCATIVAS DE PRE-ESCOLAR, PRIMARIA, BÁSICA Y MEDIA EN COLOMBIA","La presente ley tiene como fin promover e implementar, de manera transversal, la educación emocional en las instituciones educativas de los niveles preescolar, primaria, básica y media del país."
